date,season,neutral,playoff,team1,team2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,elo1_post,elo2_post,rating1_pre,rating2_pre,pitcher1,pitcher2,pitcher1_rgs,pitcher2_rgs,pitcher1_adj,pitcher2_adj,rating_prob1,rating_prob2,rating1_post,rating2_post,score1,score2
2019-05-25,2019,0,,ANA,TEX,1493.71555931273,1501.39424161415,0.5234710015850997,0.47652899841490026,,,1494.70987222639,1478.87222624274,Tyler Skaggs,Mike Minor,48.674964642163,57.6744406519268,2.3275244587899033,39.57307174254911,0.5037302606809021,0.4962697393190979,,,,
2019-05-25,2019,0,,COL,BAL,1512.6939166383,1425.30236668342,0.655029486299475,0.344970513700525,,,1511.20608225609,1408.71827122128,Kyle Freeland,Andrew Cashner,53.4482672986895,47.6652726484669,7.33593684319359,6.194777883805073,0.6758339246064449,0.32416607539355513,,,,
2019-05-25,2019,0,,STL,ATL,1517.44627077207,1520.9687443818,0.5294354528545453,0.4705645471454547,,,1522.76246940643,1521.80119072506,Dakota Hudson,Mike Soroka,45.6192492499939,56.0209263073758,-20.031934829580205,24.438422425888415,0.4719536496451923,0.5280463503548076,,,,
2019-05-25,2019,0,,PIT,LAD,1494.90970086052,1566.1024795086,0.432498760866245,0.567501239133755,,,1493.64139730064,1573.33668486178,Joe Musgrove,Hyun-Jin Ryu,50.8846916646275,57.2580362746465,2.6640639904553765,12.723438656098828,0.4064852887812816,0.5935147112187185,,,,
2019-05-25,2019,0,,HOU,BOS,1580.0047775652,1562.06777643158,0.560060792711628,0.439939207288372,,,1584.50063524698,1553.04954910968,Brad Peacock,David Price,53.5142178613284,56.8165314091456,-8.077606173976708,13.74521876293075,0.5482443963005538,0.45175560369944623,,,,
2019-05-25,2019,0,,NYM,DET,1490.59928891167,1433.14505149565,0.6151205939411548,0.3848794060588452,,,1511.91272139128,1427.32043209357,Jason Vargas,Ryan Carpenter,47.6750581564389,40.182665129832,-20.34328312351044,-34.7422560355483,0.6699578922218313,0.33004210777816867,,,,
2019-05-25,2019,0,,MIL,PHI,1540.32826324913,1505.05221332276,0.5844869354736352,0.41551306452636483,,,1535.41564909745,1527.11802261228,Jhoulys Chacin,Jake Arrieta,52.1947762455975,50.2678838655777,8.581061480815789,-2.2458164722622755,0.5617443907191365,0.4382556092808635,,,,
2019-05-25,2019,0,,CLE,TBD,1516.7539376875,1545.74054271082,0.49282419123084364,0.5071758087691564,,,1534.72443395063,1537.814700443,Carlos Carrasco,Charlie Morton,57.2532738531262,55.3554136334684,9.82908829402009,9.19971181817395,0.5309576210876218,0.4690423789123782,,,,
2019-05-25,2019,0,,OAK,SEA,1537.23311599391,1489.15210849585,0.6022698004028934,0.39773019959710665,,,1521.4598213311,1480.11144645053,Mike Fiers,Yusei Kikuchi,50.7777681649372,52.0254325537242,7.593709411392648,22.58758122284043,0.5719627935668274,0.42803720643317256,,,,
2019-05-25,2019,0,,WSN,FLA,1489.94920699641,1436.95619547363,0.6090230243806918,0.3909769756193082,,,1512.43244634307,1427.9666118601,Patrick Corbin,Sandy Alcantara,57.8308337826378,47.8140255342229,16.784829523335773,-10.376920938649517,0.6858385314273703,0.3141614685726297,,,,
2019-05-25,2019,0,,SFG,ARI,1456.81507564967,1520.91777399651,0.4425425181829634,0.5574574818170366,,,1454.63085624523,1510.74367407494,Andrew Suarez,Taylor Clarke,47.9921850754069,47.885595019581,1.8054954752084136,-17.091661244299562,0.4809903021296693,0.5190096978703307,,,,
2019-05-25,2019,0,,TOR,SDP,1467.70640518367,1478.38251090377,0.5191652309279667,0.48083476907203326,,,1469.21785704808,1487.81388954466,Edwin Jackson,Cal Quantrill,45.9457203616833,45.9625544861812,-16.528712652325897,-14.238779363069781,0.5044813354751604,0.4955186645248396,,,,
2019-05-25,2019,0,,CHC,CIN,1544.99023126877,1490.00709928666,0.611747438538969,0.38825256146103104,,,1537.2714242986,1503.8985351655,Yu Darvish,Tyler Mahle,50.5384288025802,48.8386378144731,-10.93212675138642,-12.776791056213549,0.5844051535471815,0.4155948464528185,,,,
2019-05-25,2019,0,,KCR,NYY,1461.17294808588,1558.38616831956,0.39617002762992864,0.6038299723700713,,,1450.53558834368,1573.22420077286,Jakob Junis,J.A. Happ,48.6254793044378,50.9861500234207,1.9021044851772402,-10.625382380007286,0.3831657529780185,0.6168342470219814,,,,
2019-05-25,2019,0,,MIN,CHW,1546.30940863001,1465.77165819942,0.6460606158004089,0.35393938419959114,,,1543.74159116176,1460.04771917461,Kyle Gibson,Manny Banuelos,52.3166371928323,41.9337626122118,3.0712543182405967,-25.00070426115383,0.6860099735896532,0.3139900264103468,,,,